provnum,Year,BEDCERT,RESTOT,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,DeficiencyCount,short_stay_poor_quality,short_stay_good_quality,long_stay_poor_quality,long_stay_good_quality,measure_score_qtravg,OWNERSHIP_For profit,OWNERSHIP_Government,OWNERSHIP_Non profit,CERTIFICATION_Medicaid,CERTIFICATION_Medicare,CERTIFICATION_Medicare and Medicaid,Score_High,ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9
45256,2021,121,71.7,3,3,2,3,2,3.09147,1.03962,0.36548,1.4051,4.49657,0.0757,2.14475,0.67848,0.30525,3.12848,2.9757,1.13018,0.46237,4.58239,66,0,0,28,3,1,5,9,34.72286333,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45268,2020,140,97.1,2,2,2,3,1,2.5988,1.23611,0.19886,1.43498,4.03377,0.06935,1.89542,0.64442,0.27507,2.81491,2.83052,1.4148,0.27919,4.56867,104.833,1,2,29,3,1,5,9,33.33183278,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45268,2021,140,95.1,1,2,1,2,1,2.27296,1.27634,0.15496,1.4313,3.70425,0.06789,1.86227,0.66352,0.30891,2.8347,2.50997,1.42592,0.19142,4.1546,83.333,0,5,31,3,1,6,8,34.74088861,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45269,2020,95,57.8,4,4,4,3,2,2.50908,0.9602,0.3491,1.30929,3.81837,0.00942,1.9322,0.63273,0.26673,2.83166,2.68078,1.11931,0.50543,4.29913,32,0,0,14,3,1,4,10,31.88274572,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45269,2021,95,49.8,5,4,5,3,2,2.3305,1.14809,0.27254,1.42063,3.75113,0.00887,1.89728,0.63485,0.28493,2.81706,2.52602,1.34057,0.365,4.23352,40.667,0,1,19,3,1,3,11,31.72491583,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45270,2020,100,61.3,2,2,2,2,1,2.50634,1.31325,0.21843,1.53168,4.03802,0.06588,2.07702,0.65869,0.297,3.03271,2.49115,1.47054,0.28402,4.24504,101.167,0,1,27,3,1,4,10,33.34369183,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45270,2021,100,61.2,3,3,3,3,2,2.34752,1.28789,0.25649,1.54438,3.8919,0.04677,2.08316,0.65763,0.28704,3.02783,2.31742,1.45172,0.34098,4.08664,62.333,1,2,13,3,1,3,11,31.42918539,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45271,2020,180,72.9,5,5,5,3,2,2.28925,1.09479,0.29531,1.3901,3.67935,0.00647,1.80546,0.61909,0.27069,2.69524,2.60751,1.31087,0.41629,4.34019,26,0,3,18,2,2,4,10,29.26255965,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45271,2021,180,72.9,5,5,5,3,2,2.28925,1.09479,0.29531,1.3901,3.67935,0.00647,1.80546,0.61909,0.27069,2.69524,2.60751,1.31087,0.41629,4.34019,26,0,3,18,2,2,4,10,29.26255965,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45277,2020,103,77.5,2,2,2,3,2,2.45593,1.01221,0.26609,1.2783,3.73423,0.09449,1.88025,0.66318,0.29237,2.83579,2.6965,1.12577,0.35147,4.19826,78.833,0,4,24,3,1,4,10,32.29307761,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45277,2021,103,60.9,4,4,2,2,2,2.1362,0.957,0.3443,1.3013,3.43751,0.09371,1.87691,0.68771,0.33886,2.90349,2.34055,1.03155,0.38772,3.76408,42.667,0,1,24,3,1,3,11,31.38792517,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45280,2020,80,64.7,5,4,5,2,2,1.90664,1.21108,0.34824,1.55932,3.46595,0.0103,2.03912,0.65855,0.28818,2.98584,1.9303,1.35642,0.46667,3.70083,43.333,0,1,14,3,1,4,10,34.15811917,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45280,2021,80,64.7,5,4,5,2,2,1.90664,1.21108,0.34824,1.55932,3.46595,0.0103,2.03912,0.65855,0.28818,2.98584,1.9303,1.35642,0.46667,3.70083,43.333,0,1,14,3,1,4,10,34.15811917,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45284,2020,97,52.4,4,4,3,2,2,2.44564,0.98801,0.3165,1.3045,3.75015,0.04382,2.18023,0.69178,0.3319,3.20391,2.31575,1.05342,0.36826,3.73175,43.333,0,2,14,3,1,5,9,34.40020411,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45284,2021,97,52.4,4,4,3,2,2,2.44564,0.98801,0.3165,1.3045,3.75015,0.04382,2.18023,0.69178,0.3319,3.20391,2.31575,1.05342,0.36826,3.73175,43.333,0,2,14,3,1,5,9,34.40020411,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45289,2020,80,64.2,3,3,3,2,1,2.6511,1.33209,0.16496,1.49705,4.14814,0.08554,2.22305,0.67902,0.28833,3.1904,2.46193,1.44698,0.22093,4.14527,44.667,0,1,17,3,1,6,8,33.66591683,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45289,2021,80,51.9,4,4,3,2,2,2.40868,1.25058,0.3828,1.63339,4.04206,0.06808,2.16897,0.76082,0.35158,3.28136,2.28373,1.21848,0.41547,3.91637,53.333,0,1,22,3,1,6,8,33.5134155,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
